BioWare Version 5.2.1.3 Export
Device:	Kistler Grande2 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA
Samples (#):	8000	8000	8000
Rate (Hz):	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0
Contact period end (sample #):	7999	7999	7999
Contact period start time (s):	0.000000	0.000000	0.000000
Contact period end time (s):	7.999000	7.999000	7.999000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	665.831970	665.831970	665.831970
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Oct 22, 2014  12:05:31
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.319000	1.327564	-0.606403	663.078629
0.320000	1.087894	-0.566616	664.820541
0.321000	1.127985	-0.725998	662.922066
0.322000	1.128277	-0.486580	663.557358
0.323000	1.008297	-0.566387	663.399658
0.324000	1.008589	-0.566616	663.560020
0.325000	1.008589	-0.486580	663.561653
0.326000	0.849102	-0.685753	663.404030
0.327000	0.968790	-0.446564	663.246552
0.328000	0.849102	-0.685753	663.247223
0.329000	0.928699	-0.486351	663.088509
0.330000	0.809303	-0.685520	663.088928
0.331000	0.849394	-0.565926	664.199165
0.332000	0.809303	-0.645733	662.615295
0.333000	0.849394	-0.645733	664.042267
0.334000	0.809595	-0.605717	663.092293
0.335000	0.809595	-0.685520	662.933434
0.336000	0.849394	-0.605717	663.884064
0.337000	0.809595	-0.645504	662.935982
0.338000	0.889484	-0.565468	663.092941
0.339000	0.769505	-0.765095	663.728561
0.340000	0.929283	-0.605255	662.619148
0.341000	0.809595	-0.565468	664.837242
0.342000	0.929283	-0.764870	662.461861
0.343000	1.129156	-0.565239	664.523964
0.344000	0.849394	-0.924480	663.255920
0.345000	1.129156	-0.725079	663.887428
0.346000	0.929283	-0.844444	663.572754
0.347000	1.088772	-0.924248	663.731285
0.348000	1.248552	-0.644817	663.414551
0.349000	1.008589	-1.043846	665.000473
0.350000	1.248552	-0.884232	662.781815
0.351000	1.048679	-1.083633	664.684555
0.352000	1.128571	-1.083633	662.940346
0.353000	1.088478	-1.043613	664.050499
0.354000	1.128277	-1.322590	663.736328
0.355000	1.088478	-1.202766	664.370201
0.356000	1.048388	-1.402401	664.369301
0.357000	1.008589	-1.362381	663.896095
0.358000	1.008589	-1.521763	663.103737
0.359000	0.968498	-1.641815	664.373192
0.360000	0.928699	-1.641586	663.423035
0.361000	0.928406	-1.760948	663.264748
0.362000	0.848516	-1.800968	663.900612
0.363000	0.888607	-2.000370	662.633232
0.364000	0.888315	-1.800968	663.900612
0.365000	0.608553	-2.080173	663.110069
0.366000	0.648643	-1.920334	663.902191
0.367000	0.528955	-2.159752	663.269516
0.368000	0.568460	-2.079948	663.587074
0.369000	0.448772	-2.119736	663.586586
0.370000	0.328791	-2.319138	663.590042
0.371000	0.448772	-2.119736	662.636772
0.372000	0.208811	-2.358925	664.065735
0.373000	0.328791	-2.318905	662.638832
0.374000	0.208811	-2.358925	664.225174
0.375000	0.208811	-2.398712	662.484413
0.376000	0.128922	-2.398712	662.960266
0.377000	0.128922	-2.438499	663.593666
0.378000	0.089415	-2.358692	663.594330
0.379000	0.049324	-2.438499	662.961746
0.380000	-0.030567	-2.518532	664.228714
0.381000	0.049324	-2.398479	662.012856
0.382000	-0.030567	-2.518532	664.389465
0.383000	-0.030567	-2.438271	662.171722
0.384000	-0.070658	-2.558323	663.439163
0.385000	-0.110456	-2.438499	662.807343
0.386000	-0.230438	-2.558323	662.965874
0.387000	-0.110456	-2.478291	662.807343
0.388000	-0.230438	-2.558323	662.808586
0.389000	-0.070072	-2.478291	662.332306
0.390000	-0.389925	-2.597652	663.126228
0.391000	-0.110165	-2.478291	661.860733
0.392000	-0.389925	-2.518078	662.652596
0.393000	-0.349834	-2.597652	661.544815
0.394000	-0.389633	-2.677685	661.544914
0.395000	-0.509615	-2.478291	662.973114
0.396000	-0.269360	-2.677685	661.070366
0.397000	-0.469231	-2.478291	662.336586
0.398000	-0.549120	-2.677685	661.706810
0.399000	-0.548828	-2.478058	661.547035
0.400000	-0.548828	-2.597652	662.499329
0.401000	-0.549120	-2.518078	661.865341
0.402000	-0.668514	-2.438271	661.231117
0.403000	-0.668514	-2.438042	662.501877
0.404000	-0.548241	-2.358463	660.282455
0.405000	-0.708313	-2.398479	662.026512
0.406000	-0.588039	-2.358234	661.237617
0.407000	-0.588039	-2.238640	661.552551
0.408000	-0.747820	-2.358463	661.554024
0.409000	-0.587748	-2.198853	661.554024
0.410000	-0.627838	-2.039467	660.602158
0.411000	-0.787619	-2.039013	661.395821
0.412000	-0.627546	-1.959435	660.285172
0.413000	-0.707436	-1.879627	662.188759
0.414000	-0.667345	-1.839611	660.287712
0.415000	-0.627253	-1.799824	662.032272
0.416000	-0.706850	-1.720245	660.129509
0.417000	-0.666759	-1.680225	660.606598
0.418000	-0.746649	-1.640209	660.924583
0.419000	-0.746649	-1.560635	661.240829
0.420000	-0.706558	-1.361004	660.604782
0.421000	-0.825954	-1.440807	661.557236
0.422000	-0.666174	-1.321217	659.815231
0.423000	-0.825954	-1.281197	661.240074
0.424000	-0.745771	-1.201160	660.448059
0.425000	-0.825661	-1.201393	660.765137
0.426000	-0.745771	-1.121357	661.559044
0.427000	-0.945351	-1.081566	659.972458
0.428000	-0.705387	-0.921955	661.400085
0.429000	-0.865168	-0.921955	659.973763
0.430000	-0.744894	-0.762341	660.764465
0.431000	-0.984854	-0.882168	661.401329
0.432000	-0.784985	-0.722553	661.400841
0.433000	-0.864580	-0.762341	661.717575
0.434000	-0.864580	-0.682766	661.401657
0.435000	-0.744600	-0.563171	660.132957
0.436000	-0.864580	-0.523151	661.875778
0.437000	-0.744307	-0.483364	661.083519
0.438000	-0.824490	-0.443348	662.035225
0.439000	-0.904087	-0.523384	661.242867
