BioWare Version 5.4.3.0 Export
Device:	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA
Samples (#):	8000	8000	8000	8000	8000	8000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	37	37	37	0	0	0
Contact period end (sample #):	7999	7999	7999	7999	7999	7999
Contact period start time (s):	0.037000	0.037000	0.037000	0.000000	0.000000	0.000000
Contact period end time (s):	7.999000	7.999000	7.999000	7.999000	7.999000	7.999000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	0.086868	0.086868	0.086868	0.086868	0.086868	0.086868
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	May 10, 2023  12:26:05
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.169000	-0.645574	-0.467575	-4.061395	-1.945957	-28.333777	721.486362
0.170000	0.723822	0.695348	4.845698	-1.985464	-28.533870	715.956602
0.171000	0.038720	0.053613	0.469565	0.971346	-27.213511	737.202102
0.172000	0.480880	0.373595	4.065672	0.013544	-28.013637	725.960198
0.173000	-0.122433	0.012840	-0.622257	-0.944551	-28.574114	714.251504
0.174000	-0.605892	-0.428574	-4.218452	1.772589	-27.293547	734.229382
0.175000	0.481284	0.453369	3.284043	1.253744	-27.693952	726.795306
0.176000	0.118892	0.292935	1.406736	1.813850	-27.693724	727.759566
0.177000	0.118084	0.011512	1.407461	2.454142	-27.453619	729.513668
0.178000	0.721801	0.612917	5.627335	1.735426	-27.934060	720.179954
0.179000	-0.606701	-0.550449	-4.375597	4.293077	-26.733985	738.098770
0.180000	0.077593	-0.029260	0.780571	3.055513	-27.533883	724.956591
0.181000	-0.204222	0.050956	-0.465925	2.936117	-27.773988	718.790265
0.182000	-0.445952	-0.310241	-3.125826	5.773237	-26.493421	738.454302
0.183000	0.721397	0.692249	5.316328	4.695454	-27.173494	726.896969
0.184000	-0.164540	-0.070033	-0.312072	4.097012	-27.613919	717.878612
0.185000	-0.567827	-0.511447	-3.751114	6.694170	-26.373364	735.956522
0.186000	-0.124454	0.049628	0.001421	6.055635	-26.853581	727.092551
0.187000	-0.688085	-0.511890	-4.531946	6.695341	-26.653489	729.640179
0.188000	0.318110	0.370053	3.126173	7.175560	-26.373824	730.442676
0.189000	0.197852	0.370053	1.719425	6.337447	-26.934073	719.680580
0.190000	-0.366588	-0.271682	-1.877656	9.054585	-25.653734	738.708539
0.191000	0.318110	0.369610	2.813653	7.896327	-26.334036	726.197965
0.192000	-0.406674	-0.312455	-2.811535	7.337682	-26.814021	717.812823
0.193000	-0.004600	0.007970	0.626710	9.974638	-25.453646	736.521078
0.194000	0.559435	0.649705	3.907890	9.296597	-25.933859	728.764709
0.195000	0.156553	0.208291	1.874879	8.617680	-26.454092	720.380153
0.196000	1.042086	0.889913	7.814278	10.895277	-25.253785	734.806786
0.197000	0.035486	0.128074	0.469645	9.856999	-25.693982	725.151760
0.198000	-0.367396	-0.273896	-2.032306	10.976337	-25.373837	731.337660
0.199000	0.559031	0.648819	4.533178	10.496999	-25.373837	727.224564
0.200000	0.196639	0.327952	2.501133	9.778280	-26.093931	716.615972
0.201000	0.799952	0.647934	7.031844	12.255456	-24.653520	736.591446
0.202000	0.961509	0.808810	7.190591	10.737840	-25.333821	725.025879
0.203000	-0.126071	-0.113905	-0.937192	9.818371	-25.774018	714.417128
0.204000	0.397070	0.407283	4.220490	12.176153	-24.613500	733.438237
0.205000	-0.165753	0.006642	-0.937192	11.456264	-24.893624	727.578742
0.206000	-0.126071	-0.074018	-0.939599	10.378187	-25.493894	719.347061
0.207000	1.002000	0.968801	7.970618	11.816501	-24.733556	729.332545
0.208000	0.397070	0.246849	2.969196	10.818023	-25.213997	720.149893
0.209000	0.436752	0.366953	4.687039	11.896391	-24.573943	728.554055
0.210000	-0.045495	0.206520	0.314190	11.217471	-25.053925	723.011357
0.211000	-0.448377	-0.274782	-3.281289	9.938645	-25.494122	712.241900
0.212000	0.759462	0.727708	6.251978	12.735382	-24.133746	733.955094
0.213000	0.115254	0.326623	1.561474	11.177380	-24.773800	723.813267
0.214000	0.436752	0.446285	4.064150	10.098426	-25.374069	712.728741
0.215000	0.960297	1.007803	7.970618	12.415236	-24.053942	732.540660
0.216000	-0.166966	-0.075346	0.001501	11.575953	-24.413871	727.470794
0.217000	0.477242	0.405955	4.219693	10.058042	-25.134192	714.801326
0.218000	0.356579	0.526501	3.439827	11.296190	-24.493907	724.944153
0.219000	0.074764	0.245964	1.092526	10.457200	-24.774260	719.243958
0.220000	1.322689	1.208123	10.470975	11.255514	-24.293818	726.853498
0.221000	0.195426	0.165304	2.343103	10.337218	-24.734243	720.514852
0.222000	-0.087198	-0.075346	-0.311984	9.098191	-25.294033	710.697965
0.223000	0.678481	0.646605	4.533258	11.894048	-23.773585	733.836805
0.224000	-0.126879	0.085087	-0.157246	10.415937	-24.374083	724.327810
0.225000	0.839230	0.846483	6.873814	8.897442	-25.174209	711.340452
0.226000	0.718972	0.726822	5.783755	11.094563	-23.933658	730.676827
0.227000	-0.207860	-0.196336	-1.253084	10.534746	-23.973906	728.457900
0.228000	0.396261	0.405512	2.969196	8.417223	-24.974348	712.141967
0.229000	-0.408695	-0.276110	-2.501979	9.814859	-24.173994	725.136759
0.230000	0.195022	0.084644	1.405214	9.095848	-24.374542	719.592460
0.231000	0.799548	0.846483	6.563861	9.694585	-24.013922	726.409239
0.232000	0.275599	0.284965	2.655791	8.655428	-24.294506	719.755652
0.233000	0.717759	0.645720	5.937448	7.656363	-24.694683	712.312696
0.234000	-0.126879	0.124974	-0.312789	10.572204	-23.094203	737.192940
0.235000	-0.690915	-0.476874	-4.688842	8.654257	-23.974365	724.831225
0.236000	0.678481	0.726379	5.627495	6.896091	-24.734703	710.890723
0.237000	0.034678	0.165304	0.469725	9.172810	-23.414344	732.601847
0.238000	0.799144	0.646163	5.938413	8.173745	-23.934345	725.469140
0.239000	0.839230	0.927143	6.720926	6.615158	-24.614879	713.272376
0.240000	-0.207860	-0.035459	-1.251482	7.853307	-23.894329	724.524419
0.241000	0.476838	0.485729	4.533178	6.934134	-24.254490	718.347662
0.242000	0.195426	0.405512	1.562359	7.613344	-23.854309	725.322156
0.243000	-0.126879	0.004428	-0.314479	6.694170	-24.214470	720.091456
0.244000	1.322689	1.207681	10.157570	5.894684	-24.534615	713.599214
0.245000	0.235108	0.164861	2.030423	8.531054	-23.094203	737.053050
0.246000	0.315281	0.164861	3.437259	6.773182	-23.854541	725.007245
0.247000	0.195022	0.365625	2.188453	4.935417	-24.894316	709.802749
0.248000	-0.127284	0.004428	0.000696	7.691478	-23.374096	732.622063
0.249000	0.597501	0.646163	5.311603	6.412945	-23.894557	724.381410
0.250000	0.436752	0.646163	4.064398	4.895033	-24.654667	712.186087
0.251000	-0.167774	-0.196336	-0.470819	6.452744	-23.774733	725.023897
0.252000	0.597096	0.525616	4.689518	5.534155	-24.214702	718.370517
0.253000	-0.570252	-0.356770	-3.594605	6.732212	-23.534628	728.990595
0.254000	0.315685	0.324852	2.967594	5.773531	-24.014841	722.335959
0.255000	0.235513	0.525616	2.499531	5.094612	-24.254718	716.321128
0.256000	0.114446	0.244636	1.561474	7.810874	-22.854322	739.773658
0.257000	0.959893	0.846041	7.814278	5.893219	-23.814753	725.035446
0.258000	0.114446	0.204306	1.093411	4.295418	-24.694915	709.989757
0.259000	-0.570656	-0.397099	-3.128064	7.011681	-23.254503	732.653658
0.260000	0.637587	0.765824	5.938581	6.013201	-23.774733	725.205795
0.261000	-0.087198	0.084202	-0.468969	4.814850	-24.375002	715.390459
0.262000	1.040065	0.925815	8.436363	6.412945	-23.614664	727.751621
0.263000	0.839230	0.805711	6.407521	5.374374	-24.174682	719.040232
0.264000	-0.127688	-0.117005	-0.471616	6.652908	-23.534628	730.293887
0.265000	0.395857	0.404184	3.752515	5.893805	-23.974593	724.116435
0.266000	-0.007025	0.203863	0.937071	5.374960	-24.174913	718.891703
0.267000	-0.007025	-0.076675	-0.000906	7.771661	-23.094431	736.803750
0.268000	1.201218	1.166465	9.533883	6.653494	-23.774505	729.037827
0.269000	0.476029	0.444071	4.061743	5.095783	-24.614879	714.785797
0.270000	0.999170	0.804825	8.125276	7.572667	-23.374556	733.487314
0.271000	-0.168178	-0.077118	-0.623619	6.893749	-23.774964	727.782999
0.272000	-0.450398	-0.277881	-2.501971	5.855473	-24.335214	718.283349
0.273000	0.556202	0.564175	4.219773	7.573545	-23.574876	730.803013
0.274000	0.315281	0.483515	2.966869	6.575359	-24.175141	721.935625
0.275000	0.354154	0.202535	2.966789	7.934075	-23.614892	731.446074
0.276000	0.717355	0.683836	5.625893	7.575010	-23.814981	728.596972
0.277000	-0.491293	-0.439200	-3.283519	6.576824	-24.495282	717.983514
0.278000	0.314876	0.323081	3.123934	8.694056	-23.495068	733.518448
0.279000	-0.047516	0.162647	-0.313426	8.454970	-23.774964	731.299370
0.280000	-0.047516	0.081988	-0.784861	6.458306	-24.895231	713.877313
0.281000	0.878104	0.924044	7.657213	8.775994	-23.854769	730.044438
0.282000	0.153319	0.202092	2.028821	8.776287	-23.975053	728.619218
0.283000	-0.129305	-0.118776	-0.000101	8.057570	-24.415250	720.861310
0.284000	0.475625	0.603176	3.593043	9.336689	-23.855000	729.895592
0.285000	-0.249967	0.001328	-1.252119	8.258613	-24.615107	718.334387
0.286000	0.958276	0.883271	7.500068	9.537438	-24.015069	727.052300
0.287000	0.475625	0.522516	4.375484	9.418337	-24.095105	725.785668
0.288000	0.192597	0.081102	1.247272	8.260371	-24.895463	712.957582
0.289000	0.515307	0.401970	4.218339	10.377603	-23.975053	727.859759
0.290000	-0.048324	0.040772	0.310181	10.698041	-23.814981	731.340289
0.291000	0.313260	0.241093	2.811246	8.460828	-25.135568	709.006332
0.292000	0.877699	0.923158	6.406805	10.098426	-23.535088	723.902417
0.293000	-0.009046	0.081102	0.775837	11.223329	-25.895905	722.963759
0.294000	1.279773	0.922273	8.593588	9.856999	-23.095350	715.499310
0.295000	-0.371438	0.000885	-1.096744	11.143146	-25.095551	724.247024
0.296000	-0.290458	-0.520746	-3.284404	8.541011	-23.895704	715.188409
0.297000	0.273174	0.721952	4.688165	12.939646	-25.055763	720.120822
0.298000	0.233087	0.200763	0.464114	9.904704	-24.295425	723.126387
0.299000	0.513690	0.561075	6.249659	11.300290	-25.095551	706.333266
0.300000	0.595479	0.681179	5.781428	10.064777	-23.815212	722.192544
0.301000	-0.492909	-0.481744	-4.220779	13.418107	-24.495514	728.356793
0.302000	0.232683	0.320425	2.969276	9.706881	-24.975727	702.858464
0.303000	0.031848	0.079774	-0.940324	11.461534	-24.615566	718.233284
0.304000	-0.371843	-0.160434	-1.252119	13.783616	-23.975281	725.359308
0.305000	1.240091	1.122151	10.157561	10.821829	-24.615338	715.381033
0.306000	0.312855	0.480416	2.654189	13.384165	-24.455494	718.869503
0.307000	0.352537	0.320425	4.372829	10.425307	-24.775639	708.414079
0.308000	0.233087	0.320425	1.406816	13.222336	-24.135353	719.827944
0.309000	-0.533400	-0.280981	-2.971636	12.584679	-24.736078	719.348721
0.310000	0.957872	1.001604	7.500236	10.546166	-25.255852	700.496221
0.311000	0.474413	0.560632	4.842743	12.784842	-24.575550	718.093271
0.312000	0.151298	0.079331	2.497929	13.782150	-23.575563	727.751277
0.313000	0.796314	0.680736	6.248774	10.947959	-25.536436	700.507106
0.314000	-0.291266	-0.201207	-2.190893	12.504496	-24.576010	715.403097
0.315000	0.554181	0.520303	4.684712	14.262076	-23.855916	726.019100
0.316000	0.393836	0.681179	3.436703	12.106510	-24.736078	713.343302
0.317000	0.070722	0.039001	1.090207	13.263891	-24.375917	716.833811
0.318000	1.077726	0.961274	7.969016	11.865962	-24.856362	710.021666
0.319000	-0.130517	0.039001	0.622064	13.663634	-24.136041	720.322972
0.320000	-0.291266	-0.242422	-1.564799	12.904531	-24.376149	719.372416
0.321000	0.312855	0.479973	2.967674	10.986879	-25.456400	700.361109
0.322000	-0.291266	-0.041216	-1.407662	12.744751	-24.455954	716.054331
0.323000	0.836400	0.720623	6.716113	14.221985	-23.615580	729.992978
0.324000	0.312855	0.520303	3.280354	11.027264	-25.456400	702.268958
0.325000	-0.291670	-0.242422	-1.879098	12.623306	-24.136041	717.484778
0.326000	0.272365	0.399756	3.439190	14.102297	-23.815900	728.097971
0.327000	-0.331352	-0.161762	-1.877407	11.704718	-24.496202	713.046015
0.328000	0.152107	0.118775	1.091809	12.383928	-24.456185	715.901862
0.329000	0.917381	1.041934	6.873346	11.624536	-24.576466	710.990174
0.330000	0.232279	0.279209	1.871836	12.742995	-24.055777	720.659314
0.331000	0.996745	0.840727	8.125356	12.542830	-23.976200	720.023096
0.332000	-0.009046	0.119218	0.780811	10.545286	-24.896610	703.229315
0.333000	-0.251180	-0.161762	-1.410149	12.462648	-23.936184	719.396174
