BioWare Version 5.1.1.0 Export
Device:	Kistler Grande2 9287BA	Kistler Grande2 9287BA
Samples (#):	500	500
Rate (Hz):	50.000000	50.000000
Contact period start (sample #):	0	0
Contact period end (sample #):	499	499
Contact period start time (s):	0.000000	0.000000
Contact period end time (s):	9.980000	9.980000
First sample time (s):	0.000000	0.000000
Normalized force (N):	689.334961	689.334961
Normalized length (m):	1000.000000	1000.000000
File Information
Date	Nov 09, 2012  09:39:44
Name	
ID	
Classification	
Description	
abs time (s)	Ax	Ay
	m	m
4.900000	0.009851	-0.003340
4.920000	0.009133	-0.002485
4.940000	0.008743	-0.001918
4.960000	0.008350	-0.001635
4.980000	0.007706	-0.002249
5.000000	0.006313	-0.003584
5.020000	0.003858	-0.005075
5.040000	0.000335	-0.006726
5.060000	-0.003087	-0.008169
5.080000	-0.004107	-0.008695
5.100000	-0.003934	-0.007664
5.120000	-0.003427	-0.004777
5.140000	-0.002913	-0.000707
5.160000	-0.003812	0.003597
5.180000	-0.004035	0.007669
5.200000	-0.002739	0.011561
5.220000	-0.001507	0.015239
5.240000	-0.000692	0.018007
5.260000	-0.000259	0.019829
5.280000	-0.000293	0.021391
5.300000	-0.000219	0.022707
5.320000	0.000289	0.023314
5.340000	0.002222	0.023843
5.360000	0.004304	0.024020
5.380000	0.005971	0.023532
5.400000	0.008422	0.023161
5.420000	0.010264	0.022874
5.440000	0.011085	0.022448
5.460000	0.012118	0.022007
5.480000	0.012694	0.021854
5.500000	0.012823	0.021858
5.520000	0.013133	0.022126
5.540000	0.013576	0.022837
5.560000	0.013246	0.023687
5.580000	0.013095	0.025453
5.600000	0.014162	0.027229
5.620000	0.015494	0.028334
5.640000	0.016043	0.027983
5.660000	0.016293	0.026601
5.680000	0.016775	0.025682
5.700000	0.016643	0.024899
5.720000	0.015359	0.024183
5.740000	0.012541	0.023158
5.760000	0.009035	0.021439
5.780000	0.006983	0.019336
5.800000	0.006452	0.017281
5.820000	0.006879	0.015203
5.840000	0.007995	0.013439
5.860000	0.009222	0.011924
5.880000	0.011558	0.010281
5.900000	0.015016	0.007181
5.920000	0.017005	0.002936
5.940000	0.016581	-0.000701
5.960000	0.014551	-0.004805
5.980000	0.011425	-0.008497
6.000000	0.010076	-0.010948
6.020000	0.010119	-0.013267
6.040000	0.010255	-0.016454
6.060000	0.007125	-0.020171
6.080000	0.001938	-0.022919
6.100000	-0.001462	-0.025137
6.120000	-0.003256	-0.027301
6.140000	-0.004123	-0.027822
6.160000	-0.004375	-0.027009
6.180000	-0.001816	-0.025991
6.200000	0.002117	-0.025086
6.220000	0.005031	-0.024056
6.240000	0.006109	-0.023071
6.260000	0.005122	-0.021650
6.280000	0.003605	-0.020682
6.300000	0.001245	-0.019947
6.320000	-0.001846	-0.019509
6.340000	-0.005238	-0.018687
6.360000	-0.006807	-0.017970
6.380000	-0.005137	-0.017382
6.400000	-0.002599	-0.016399
6.420000	0.000188	-0.016304
6.440000	0.001608	-0.017125
6.460000	0.000235	-0.018191
6.480000	-0.002994	-0.018919
6.500000	-0.005401	-0.019311
6.520000	-0.007331	-0.019660
6.540000	-0.009826	-0.019658
6.560000	-0.012915	-0.019686
6.580000	-0.014483	-0.019870
6.600000	-0.012856	-0.020448
6.620000	-0.009761	-0.021151
6.640000	-0.007354	-0.021518
6.660000	-0.005472	-0.020669
6.680000	-0.004527	-0.018621
6.700000	-0.006253	-0.014677
6.720000	-0.008608	-0.008420
6.740000	-0.008936	-0.001896
6.760000	-0.009050	0.003823
6.780000	-0.009471	0.007985
6.800000	-0.011197	0.010743
6.820000	-0.013412	0.012227
6.840000	-0.013209	0.012653
6.860000	-0.011378	0.011835
6.880000	-0.009282	0.009420
6.900000	-0.007614	0.006136
6.920000	-0.007138	0.003486
6.940000	-0.007335	0.000649
6.960000	-0.007641	-0.002795
6.980000	-0.009767	-0.007315
7.000000	-0.014937	-0.012727
7.020000	-0.019513	-0.016597
7.040000	-0.021801	-0.017698
7.060000	-0.021889	-0.016929
7.080000	-0.018098	-0.015728
7.100000	-0.014936	-0.014673
7.120000	-0.015169	-0.013788
7.140000	-0.017720	-0.012558
7.160000	-0.021030	-0.010836
7.180000	-0.024718	-0.008383
7.200000	-0.029365	-0.005491
7.220000	-0.034889	-0.002205
7.240000	-0.040822	0.000719
7.260000	-0.044570	0.003319
7.280000	-0.043828	0.005371
7.300000	-0.041045	0.006953
7.320000	-0.037679	0.008039
7.340000	-0.033928	0.009460
7.360000	-0.031115	0.011165
7.380000	-0.028138	0.012042
7.400000	-0.024595	0.012594
7.420000	-0.021879	0.013372
7.440000	-0.020296	0.014345
7.460000	-0.019014	0.015762
7.480000	-0.017188	0.017080
7.500000	-0.016935	0.017653
7.520000	-0.018324	0.018136
7.540000	-0.020163	0.018286
7.560000	-0.022399	0.018382
7.580000	-0.025949	0.018112
7.600000	-0.030731	0.017613
7.620000	-0.035465	0.016957
7.640000	-0.037699	0.015986
7.660000	-0.036841	0.016059
7.680000	-0.036085	0.016273
7.700000	-0.036364	0.016107
7.720000	-0.036869	0.015801
7.740000	-0.037831	0.014956
7.760000	-0.038854	0.014366
7.780000	-0.039451	0.014241
7.800000	-0.039297	0.014433
7.820000	-0.037620	0.015491
7.840000	-0.036335	0.017038
7.860000	-0.036132	0.018162
7.880000	-0.035968	0.018909
7.900000	-0.034789	0.019629
7.920000	-0.033272	0.020310
7.940000	-0.031567	0.020221
7.960000	-0.029423	0.019569
7.980000	-0.027032	0.018349
8.000000	-0.024113	0.016265
8.020000	-0.021815	0.014140
8.040000	-0.020795	0.012271
8.060000	-0.020313	0.010880
8.080000	-0.020316	0.009526
8.100000	-0.021001	0.006837
8.120000	-0.022791	0.001653
8.140000	-0.026781	-0.002038
8.160000	-0.031447	-0.005258
8.180000	-0.036078	-0.008668
8.200000	-0.039755	-0.010239
8.220000	-0.040800	-0.010249
8.240000	-0.039228	-0.008941
8.260000	-0.034875	-0.007035
8.280000	-0.030591	-0.004688
8.300000	-0.025488	-0.002236
8.320000	-0.020528	0.000066
8.340000	-0.016506	0.001628
8.360000	-0.012136	0.001400
8.380000	-0.008069	-0.001349
8.400000	-0.007290	-0.005935
8.420000	-0.007382	-0.010316
8.440000	-0.004398	-0.015170
8.460000	0.000447	-0.019812
8.480000	0.009175	-0.022930
8.500000	0.019833	-0.024311
8.520000	0.027864	-0.024271
8.540000	0.031843	-0.022779
8.560000	0.032557	-0.019505
8.580000	0.028932	-0.014357
8.600000	0.024391	-0.008100
8.620000	0.024298	-0.002537
8.640000	0.027752	0.001720
8.660000	0.031672	0.004716
8.680000	0.033503	0.005957
8.700000	0.033456	0.004615
8.720000	0.030619	0.000696
8.740000	0.022671	-0.003170
8.760000	0.011667	-0.005804
8.780000	0.004612	-0.007365
8.800000	-0.000616	-0.007201
8.820000	-0.003357	-0.005442
8.840000	-0.002673	-0.002869
8.860000	-0.002499	0.000373
8.880000	-0.000876	0.004159
8.900000	0.002796	0.007977
8.920000	0.006295	0.010678
8.940000	0.009612	0.012824
8.960000	0.012672	0.014756
8.980000	0.014792	0.015391
9.000000	0.016777	0.015434
9.020000	0.017899	0.015608
9.040000	0.018502	0.015867
9.060000	0.019808	0.016086
9.080000	0.019115	0.016032
9.100000	0.017689	0.016568
9.120000	0.017806	0.017726
9.140000	0.016515	0.018576
9.160000	0.013440	0.019251
9.180000	0.010622	0.019908
9.200000	0.009503	0.020506
9.220000	0.009075	0.020799
9.240000	0.008717	0.020312
9.260000	0.008445	0.018991
9.280000	0.007945	0.017115
9.300000	0.007527	0.014657
9.320000	0.008132	0.011145
9.340000	0.010209	0.006803
9.360000	0.010951	0.001471
9.380000	0.010138	-0.005416
9.400000	0.006165	-0.014325
9.420000	-0.004921	-0.022758
9.440000	-0.013777	-0.025495
9.460000	-0.019325	-0.026724
9.480000	-0.025759	-0.027122
9.500000	-0.030619	-0.026086
9.520000	-0.032563	-0.024760
9.540000	-0.030186	-0.023696
9.560000	-0.025380	-0.022469
9.580000	-0.019253	-0.021330
9.600000	-0.014008	-0.020300
9.620000	-0.010298	-0.019650
9.640000	-0.007705	-0.019896
9.660000	-0.006328	-0.020493
9.680000	-0.006514	-0.020685
9.700000	-0.005277	-0.019990
9.720000	-0.002693	-0.017608
9.740000	-0.000302	-0.012478
9.760000	0.003661	-0.006189
9.780000	0.008827	-0.000355
9.800000	0.014859	0.004252
9.820000	0.020350	0.007231
9.840000	0.023984	0.009000
9.860000	0.025514	0.009403
9.880000	0.025171	0.009578
9.900000	0.023228	0.010200
9.920000	0.020635	0.010579
9.940000	0.020466	0.010325
9.960000	0.023266	0.009830
9.980000	0.026095	0.009664
